Proliferative Probability_norm,n,mean,std,sem
0.0,1210,5.7,4.617199119471705,0.1327351420732226
0.1,1209,5.7030603804797355,4.648969005247136,0.13370372296591085
0.2,1210,5.75702479338843,4.661633107985069,0.13401252942984065
0.3,1210,5.7214876033057855,4.663103447850462,0.1340547987290151
0.4,1209,5.812241521918941,4.735764554444064,0.13619995128049028
0.5,1209,5.730355665839537,4.737836984735432,0.13625955409677717
0.6,1209,5.732009925558312,4.673191403520844,0.1344003558805856
0.7,1210,5.747107438016529,4.733651494686279,0.13608291247880977
0.8,1209,5.732009925558312,4.711298524608782,0.1354963115548909
0.9,1210,5.743801652892562,4.765343813883045,0.13699400259694489
1.0,1210,5.715702479338843,4.705574686363335,0.13527576099036911
