bin,test,stat,p_raw,n_PP,n_CE,n_MC,p_fdr
"(-0.001, 0.1]",ANOVA,1542.7850078883644,0.0,2419,2419,2417,0.0
"(0.1, 0.2]",ANOVA,549.7754414767337,3.0289565184976595e-209,1210,1207,1209,1.5144782592488297e-208
"(0.2, 0.3]",ANOVA,296.4000838864756,5.924592461638748e-120,1210,1210,1210,1.481148115409687e-119
"(0.3, 0.4]",ANOVA,80.85428527305538,4.4290586338259894e-35,1209,1209,1209,5.536323292282486e-35
"(0.4, 0.5]",ANOVA,2.061205152217422,0.12744959264493647,1209,1210,1210,0.12744959264493647
"(0.5, 0.6]",ANOVA,22.414160917263917,2.1151208136883687e-10,1209,1210,1210,2.3501342374315205e-10
"(0.6, 0.7]",ANOVA,88.84530225950027,2.139726104496059e-38,1210,1210,1210,3.056751577851513e-38
"(0.7, 0.8]",ANOVA,178.63061633769314,1.022528879507357e-74,1209,1210,1210,1.7042147991789285e-74
"(0.8, 0.9]",ANOVA,272.8504962379394,4.099979758998148e-111,1210,1210,1210,8.199959517996296e-111
"(0.9, 1.0]",ANOVA,375.0069588611153,9.190103977851632e-149,1210,1210,1210,3.0633679926172108e-148
